Actor,Film,Year,Genre,Box Office,IMDb
Leonardo DiCaprio,Inception,2010,Sci-Fi,$836.8M,8.8
Brad Pitt,Fight Club,1999,Drama,$101.2M,8.8
Tom Cruise,Top Gun: Maverick,2022,Action,$1.496B,8.3
Morgan Freeman,The Shawshank Redemption,1994,Drama,$28.8M,9.3
Charlize Theron,Mad Max: Fury Road,2015,Action,$380.4M,8.1
Johnny Depp,Pirates of the Caribbean,2003,Adventure,$654.3M,8.1
Christian Bale,The Dark Knight,2008,Action,$1.006B,9.0
Joaquin Phoenix,Joker,2019,Crime,$1.074B,8.4
Samuel L. Jackson,Pulp Fiction,1994,Crime,$213.9M,8.9
